S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
16,17,SUGARS AND SUGAR CONFECTIONERY.,128979.66,10771.85,-91.65
17,18,COCOA AND COCOA PREPARATIONS.,323.41,334.65,3.48
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1376.46,2830.53,105.64
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",6352.35,11334.87,78.44
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,2490.21,4597.5,84.62
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",163.25,727.69,345.74
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,121465.96,148143.98,21.96
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,382.84,262.86,-31.34
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",767902.33,754078,-1.8
25,26,"ORES, SLAG AND ASH.",1189136.72,3068051.64,158.01
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1515449.7,971072.5,-35.92
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",107151.06,95153.21,-11.2
28,29,ORGANIC CHEMICALS,1210153.31,1006437.08,-16.83
29,30,PHARMACEUTICAL PRODUCTS,45807.68,62455.84,36.34
30,31,FERTILISERS.,1953.8,2180.81,11.62
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",196958.53,168884.8,-14.25
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",88398.22,95422.21,7.95
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",19101.98,22550.67,18.05
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,3012.19,4990.34,65.67
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,5.07,,
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,75.7,149.6,97.63
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,182428.83,186884.36,2.44
38,39,PLASTIC AND ARTICLES THEREOF.,217691.48,241992.47,11.16
39,40,RUBBER AND ARTICLES THEREOF.,53769.36,53870.44,0.19
